,model,truevals,predvals
177,model_5,0.1767,0.2848044
178,model_5,0.1139,0.080292664
179,model_5,0.6466,0.65512973
180,model_5,-0.0505,0.1077764
181,model_5,0.7133,0.69124556
182,model_5,0.0452,0.04739702
183,model_5,-0.1859,-0.20692094
184,model_5,0.2571,0.24353953
185,model_5,0.2027,0.23825513
186,model_5,0.4073,0.3061347
187,model_5,0.5139,0.5697449
188,model_5,-0.0494,-0.09487073
189,model_5,0.112,0.08649494
190,model_5,0.4012,0.33861637
191,model_5,0.3709,0.20861448
192,model_5,-0.0446,0.020287398
193,model_5,0.6359,0.54928976
194,model_5,0.2515,0.21627066
195,model_5,0.037,0.0059875953
196,model_5,0.1999,0.22104654
197,model_5,0.3295,0.27669013
198,model_5,0.0831,-0.017365534
199,model_5,0.0657,0.041103948
200,model_5,-0.0492,-0.07246486
201,model_5,0.1556,0.14027818
202,model_5,0.2235,0.1641982
203,model_5,0.4035,0.3869772
204,model_5,-0.2038,-0.12976429
205,model_5,0.3139,0.28579196
206,model_5,0.6596,0.6409344
207,model_5,0.4091,0.43015862
208,model_5,0.0072,0.0061699483
209,model_5,0.0985,0.04797214
210,model_5,-0.0895,0.037104405
211,model_5,0.0799,0.02997737
212,model_5,0.5198,0.6670639
213,model_5,0.1625,0.14309554
214,model_5,0.0867,0.101762466
215,model_5,0.0994,0.09245703
216,model_5,0.3815,0.3646205
217,model_5,0.5326,0.60408336
218,model_5,0.621,0.718811
219,model_5,0.2191,0.2313825
220,model_5,0.1298,0.12050463
221,model_5,0.2678,0.11981878
222,model_5,0.0903,0.07056837
223,model_5,0.3403,0.26292467
224,model_5,1.0553,0.9453935
225,model_5,0.1953,0.13057959
226,model_5,0.4376,0.40695685
227,model_5,0.2136,0.21426073
228,model_5,0.7193,0.69743603
229,model_5,0.5463,0.58392006
230,model_5,0.1313,0.098119706
231,model_5,0.2144,0.3494699
232,model_5,0.0857,0.061629698
233,model_5,0.1052,0.020956159
234,model_5,0.0242,0.09686704
235,model_5,0.1174,0.14170997
236,model_5,0.0628,0.08546463
237,model_5,0.1227,0.071336016
238,model_5,0.068,0.13273655
239,model_5,0.4677,0.44056123
240,model_5,0.0784,0.067711994
241,model_5,0.0617,0.08375391
242,model_5,0.0255,0.073711365
243,model_5,0.3808,0.35247028
244,model_5,0.2358,0.2191018
245,model_5,-0.1035,-0.104957454
246,model_5,-0.0109,0.0049447413
247,model_5,0.1382,0.1573863
248,model_5,0.2491,0.16239078
249,model_5,0.31,0.1981815
250,model_5,0.331,0.34156686
251,model_5,0.0336,0.061585244
252,model_5,0.3975,0.39960435
253,model_5,0.3994,0.4489509
254,model_5,0.0091,0.038843732
255,model_5,0.1408,0.12043106
256,model_5,0.4389,0.4147662
257,model_5,-0.0265,-0.015615325
258,model_5,0.0209,0.042386815
259,model_5,0.1397,0.2107856
260,model_5,0.2075,0.025161896
261,model_5,0.0072,0.074797556
262,model_5,0.1147,0.03871457
263,model_5,0.1494,0.13697739
264,model_5,0.8995,0.9079498
265,model_5,0.4714,0.3451638
266,model_5,0.1718,0.16827293
267,model_5,0.128,0.17516406
268,model_5,0.222,0.29987192
269,model_5,0.2756,0.28249866
270,model_5,0.7367,0.76081735
271,model_5,0.0059,0.037530407
272,model_5,0.2641,0.24983443
273,model_5,0.2558,0.24242029
274,model_5,0.3925,0.38399464
275,model_5,0.09,0.011442356
276,model_5,0.3312,0.3477791
277,model_5,0.0923,0.076467276
278,model_5,0.74,0.7884354
279,model_5,0.4446,0.5713391
280,model_5,0.3847,0.3666465
281,model_5,0.1489,0.18232326
282,model_5,0.1605,0.19683583
283,model_5,0.3687,0.39590508
284,model_5,0.2024,0.20364313
285,model_5,0.1016,0.108341336
286,model_5,0.3067,0.2799363
287,model_5,0.2185,0.19558172
288,model_5,0.3781,0.31809872
289,model_5,0.1113,0.11920722
290,model_5,-0.0748,-0.064172395
291,model_5,0.0462,0.063298784
292,model_5,0.1681,0.0991738
293,model_5,0.1543,0.19702095
294,model_5,0.8037,0.7976718
295,model_5,0.395,0.30452025
296,model_5,0.8889,0.8506797
297,model_5,0.2505,0.24833088
298,model_5,0.1992,0.16784301
299,model_5,0.2787,0.29592
300,model_5,0.1438,0.06648938
301,model_5,0.502,0.4596649
302,model_5,0.8745,0.8746245
303,model_5,0.4289,0.32796055
304,model_5,0.0447,0.070685744
305,model_5,-0.0261,-0.045300934
306,model_5,0.1399,0.088283576
307,model_5,-0.1683,-0.089908995
308,model_5,0.0411,0.09136522
309,model_5,0.1003,0.10850405
310,model_5,0.0585,0.020709926
311,model_5,0.1376,0.14978084
312,model_5,0.0391,0.06771369
313,model_5,0.2753,0.15853785
314,model_5,0.0601,0.09202186
315,model_5,0.1261,0.15888198
316,model_5,0.2749,0.31955665
317,model_5,0.1857,0.1484238
318,model_5,0.0964,0.15308063
319,model_5,0.4942,0.45591128
320,model_5,0.2662,0.16329989
321,model_5,0.3008,0.2688853
322,model_5,0.0856,-0.024865933
323,model_5,0.1389,0.23989598
324,model_5,0.3661,0.3672267
325,model_5,0.0594,0.021473568
326,model_5,0.3458,0.37619883
327,model_5,0.0687,0.07800725
328,model_5,0.3593,0.33742613
329,model_5,0.137,0.19432802
330,model_5,0.1341,0.16438901
331,model_5,0.151,0.22455837
332,model_5,0.1554,0.18121384
333,model_5,0.5598,0.5565828
334,model_5,-0.0274,0.016144812
335,model_5,0.6533,0.66749746
336,model_5,0.2517,0.19688417
337,model_5,0.0926,-0.044669267
338,model_5,-0.0574,-0.029637165
339,model_5,0.2857,0.2066121
340,model_5,0.0515,0.07395781
341,model_5,0.3514,0.30153582
342,model_5,0.252,0.22377698
343,model_5,0.1008,0.13441208
344,model_5,0.0225,0.08447477
345,model_5,0.0394,0.09602678
346,model_5,0.0743,0.08956941
347,model_5,0.187,0.16174535
348,model_5,-0.0037,0.020341046
349,model_5,0.0697,0.17214106
350,model_5,0.0024,0.034894813
351,model_5,0.7582,0.7470901
352,model_5,-0.0397,-0.04621976
353,model_5,0.0431,0.15730798
354,model_5,0.5601,0.58864635
355,model_5,0.2331,0.23758149
356,model_5,0.4086,0.40088987
357,model_5,0.0462,0.03779116
358,model_5,0.6001,0.63536924
359,model_5,0.1585,0.20813616
360,model_5,0.0796,0.085994765
361,model_5,0.172,0.18081151
362,model_5,0.1548,0.11708367
363,model_5,-0.0393,-0.06975634
364,model_5,0.1352,0.11363956
365,model_5,0.0435,0.017092194
366,model_5,0.1,0.08476878
367,model_5,0.1049,0.087259114
368,model_5,0.1261,0.14930251
369,model_5,0.6819,0.75402886
370,model_5,0.7945,0.7840815
371,model_5,0.3399,0.22807784
372,model_5,0.2338,0.21135385
373,model_5,0.2269,0.27819297
374,model_5,0.5148,0.53259873
375,model_5,0.0329,0.021456085
376,model_5,0.3382,0.38757497
377,model_5,0.1607,0.3158632
378,model_5,0.0783,0.06640121
379,model_5,0.4299,0.48390478
380,model_5,0.3417,0.3176204
381,model_5,0.0644,0.023789264
382,model_5,0.1874,0.16173214
383,model_5,0.4444,0.32445484
384,model_5,0.1076,0.13669626
385,model_5,0.7568,0.7919604
386,model_5,0.7964,0.8409669
387,model_5,0.1392,0.12738135
388,model_5,0.1921,0.2046047
389,model_5,0.4004,0.34809172
390,model_5,0.5228,0.58904994
391,model_5,0.2043,0.16548204
392,model_5,0.0782,0.081706606
393,model_5,0.3981,0.35916775
394,model_5,0.0923,0.11076069
395,model_5,0.1557,0.099735364
396,model_5,0.1577,0.14632347
397,model_5,0.3898,0.23072867
398,model_5,0.4326,0.42982727
399,model_5,0.2068,0.24955887
400,model_5,-0.0641,-0.067925155
401,model_5,0.2673,0.26593894
402,model_5,0.2614,0.27035525
403,model_5,0.4236,0.48975605
404,model_5,0.4216,0.31728137
405,model_5,0.0039,0.011492275
406,model_5,0.2115,0.43381065
407,model_5,0.3192,0.26396212
408,model_5,0.1936,0.17290477
409,model_5,0.1521,0.15371384
410,model_5,0.9456,0.9215188
411,model_5,0.1815,0.13576223
412,model_5,0.038,0.008881491
413,model_5,0.2374,0.23723729
414,model_5,0.1278,0.15515976
415,model_5,0.2961,0.24772407
416,model_5,0.3698,0.38189864
417,model_5,0.0429,-0.041971177
418,model_5,0.1916,0.28877723
419,model_5,0.7071,0.65951836
420,model_5,0.1587,0.19253218
421,model_5,0.0935,0.052076157
422,model_5,0.3822,0.2984531
423,model_5,0.4384,0.093649805
424,model_5,0.2496,0.12947334
425,model_5,0.0946,0.033183023
426,model_5,0.1308,0.024785686
427,model_5,-0.0099,0.1643896
428,model_5,0.1972,0.18293723
429,model_5,0.157,0.1859567
430,model_5,0.2671,0.2140325
431,model_5,0.1013,-0.013984345
432,model_5,0.0989,0.15189667
433,model_5,0.0766,0.10875841
434,model_5,0.1012,0.05160004
435,model_5,0.2133,0.13555135
436,model_5,0.0708,0.06907548
437,model_5,0.0181,0.00888693
438,model_5,0.0122,0.08243893
439,model_5,0.2103,0.3230294
440,model_5,0.1885,0.24203143
441,model_5,-0.0396,-0.10626051
442,model_5,0.0187,0.0113139115
443,model_5,0.1929,0.15224098
444,model_5,0.1387,0.18586178
445,model_5,0.0165,0.038215853
446,model_5,0.2901,0.17575127
447,model_5,0.0601,0.02080777
448,model_5,0.5366,0.4201306
449,model_5,0.1732,0.17423595
450,model_5,0.0193,0.055282038
451,model_5,-0.1786,-0.17489675
452,model_5,0.2832,0.19938664
453,model_5,0.4806,0.478634
454,model_5,0.6522,0.6985585
455,model_5,0.1207,0.12743565
456,model_5,0.3049,0.27838543
457,model_5,0.2049,0.32515645
458,model_5,0.1401,0.15148735
459,model_5,0.683,0.61473006
460,model_5,0.0571,0.115650475
461,model_5,0.6791,0.63838404
462,model_5,0.0824,0.09529948
463,model_5,0.0552,0.11335473
464,model_5,-0.0671,-0.02355485
465,model_5,0.0288,0.01328136
466,model_5,0.1335,0.12069987
467,model_5,0.0382,0.023491256
468,model_5,0.4276,0.38702908
469,model_5,-0.0289,-0.0591777
470,model_5,0.2181,0.20781718
471,model_5,0.0106,-0.025139999
472,model_5,-0.1842,-0.1047329
473,model_5,0.01,-0.048431095
474,model_5,0.2519,0.2447144
475,model_5,0.5574,0.52789277
476,model_5,0.471,0.5359525
477,model_5,0.5793,0.542834
478,model_5,0.0751,0.011221187
479,model_5,0.0549,0.113760635
480,model_5,-0.1231,-0.1562305
481,model_5,0.3804,0.38134044
482,model_5,0.2664,0.40952268
483,model_5,0.031,0.0046593505
484,model_5,0.0874,0.10371557
485,model_5,0.3037,0.3453498
486,model_5,0.3791,0.289601
487,model_5,0.2324,0.12582022
488,model_5,0.3635,0.36624283
489,model_5,0.395,0.45034957
490,model_5,0.0645,0.08770269
491,model_5,0.0271,0.06379752
492,model_5,0.2627,0.2814315
493,model_5,0.0887,0.12611403
494,model_5,0.2047,0.15192129
495,model_5,0.034,0.0019914764
496,model_5,0.3421,0.30520517
497,model_5,0.3269,0.33534178
498,model_5,-0.006,0.029572517
499,model_5,0.2316,0.11912866
500,model_5,0.2071,0.2887299
501,model_5,0.5018,0.48285407
502,model_5,0.3524,0.3458373
503,model_5,0.451,0.4474699
504,model_5,0.4261,0.397445
505,model_5,0.1756,0.08440976
506,model_5,0.2647,0.084336914
507,model_5,0.3887,0.38980812
508,model_5,0.1819,0.14618933
509,model_5,0.2084,0.17385875
510,model_5,-0.0771,-0.091871046
511,model_5,0.0167,-0.0064977375
512,model_5,0.1493,0.043855973
513,model_5,0.1321,0.17621191
514,model_5,0.2606,0.19986312
515,model_5,0.3859,0.45908764
516,model_5,0.3265,0.31777638
517,model_5,0.1341,0.20888801
518,model_5,0.0887,0.076912105
519,model_5,0.3338,0.3441497
520,model_5,0.1151,0.10099895
521,model_5,0.1444,0.118134126
522,model_5,0.1779,0.11988626
523,model_5,-0.0053,-0.014517717
524,model_5,0.3247,0.2940606
525,model_5,0.8948,0.8964593
526,model_5,0.2932,0.16634257
527,model_5,0.0862,0.10839255
528,model_5,0.5758,0.6362161
529,model_5,0.0271,0.08480205
530,model_5,0.1548,0.060712367
531,model_5,0.1415,0.2238399
532,model_5,0.1234,0.11530481
533,model_5,0.1187,0.1797774
534,model_5,0.0769,0.07261163
535,model_5,0.0464,0.0130627435
536,model_5,0.1216,0.090734206
537,model_5,0.3501,0.38084137
538,model_5,0.216,0.15435398
539,model_5,0.439,0.3841753
540,model_5,0.307,0.3004291
541,model_5,0.3651,0.42391253
542,model_5,0.3807,0.36050856
543,model_5,-0.1916,-0.17992543
544,model_5,0.1908,0.18641327
545,model_5,-0.0462,0.028054353
546,model_5,-0.0505,-0.018293317
547,model_5,0.4435,0.5167044
548,model_5,0.5313,0.4729846
549,model_5,0.0167,-0.005504329
550,model_5,0.0434,0.04084844
551,model_5,0.1337,0.13280644
552,model_5,0.969,0.8841076
553,model_5,0.2204,0.2258509
554,model_5,0.1229,0.17311893
555,model_5,-0.0462,-0.048977546
556,model_5,0.0578,0.042962775
557,model_5,0.3519,0.39559776
558,model_5,0.9655,1.0054319
559,model_5,-0.0981,-0.1503994
560,model_5,0.1246,0.14472201
561,model_5,0.7556,0.7784664
562,model_5,0.4195,0.4240008
563,model_5,-0.0871,-0.104441516
564,model_5,0.2512,0.27012593
565,model_5,0.1583,0.08398639
566,model_5,0.3908,0.43479055
567,model_5,0.2208,0.23030843
568,model_5,0.0368,0.031260803
569,model_5,0.3757,0.31727114
570,model_5,0.0815,0.08494339
571,model_5,0.1276,0.10527713
572,model_5,0.3034,0.42081505
573,model_5,0.6166,0.5616342
574,model_5,0.0655,0.045036983
575,model_5,0.0029,-0.019058798
576,model_5,0.4797,0.4863573
577,model_5,0.2118,0.25747818
578,model_5,0.1921,0.119113445
579,model_5,0.332,0.3377788
580,model_5,0.4133,0.4587216
581,model_5,0.7797,0.73812926
582,model_5,0.1041,-0.0019547497
583,model_5,0.2709,0.32551268
584,model_5,-0.0555,-0.05447116
585,model_5,0.1385,0.16766824
586,model_5,0.0562,0.047852457
587,model_5,0.2844,0.29509288
588,model_5,0.2881,0.2432153
589,model_5,0.1092,0.127117
590,model_5,0.5503,0.63278955
591,model_5,0.2216,0.30244315
592,model_5,0.2046,0.15974209
593,model_5,0.406,0.40105337
594,model_5,0.7724,0.81356984
595,model_5,0.1091,0.12551096
596,model_5,0.6962,0.76054215
597,model_5,-0.0485,0.0020884867
598,model_5,-0.0599,-0.035304755
599,model_5,-0.076,-0.1049174
600,model_5,0.1179,0.037663348
601,model_5,0.5081,0.45971608
602,model_5,0.3315,0.21982373
603,model_5,0.2623,0.24931763
604,model_5,0.1938,0.15471067
605,model_5,0.314,0.4292332
606,model_5,-0.0801,-0.10777608
607,model_5,0.1009,0.057725336
608,model_5,0.3551,0.3808341
609,model_5,0.153,0.03258559
610,model_5,0.2559,0.19549336
611,model_5,0.2024,0.31246033
612,model_5,0.03,0.0018807459
613,model_5,0.2319,0.17007074
614,model_5,0.0034,-0.045005657
615,model_5,0.0206,0.12769476
616,model_5,0.1494,0.22081138
617,model_5,0.8532,0.8628978
618,model_5,-0.0564,0.0006250213
619,model_5,-0.0499,-0.07999587
620,model_5,1.1149,1.1441236
621,model_5,-0.0019,-0.0032772874
622,model_5,0.3064,0.2427092
623,model_5,-0.0339,-0.03975429
624,model_5,0.3182,0.3137689
625,model_5,0.2744,0.30920425
626,model_5,0.4154,0.3937469
627,model_5,0.1947,0.26888663
628,model_5,0.0489,0.053392865
629,model_5,0.0224,0.003720745
630,model_5,0.0982,0.12490113
631,model_5,0.0544,0.097071424
632,model_5,0.2342,0.1048888
633,model_5,0.4862,0.6527042
634,model_5,0.3874,0.36796466
635,model_5,0.0772,0.09764381
636,model_5,0.0587,0.07798189
637,model_5,0.5955,0.6071823
638,model_5,0.1503,0.11187856
639,model_5,0.172,0.08227102
640,model_5,0.0931,0.08586784
641,model_5,0.2157,0.1879826
642,model_5,0.2849,0.30967426
643,model_5,0.4719,0.56760925
644,model_5,0.4176,0.14713074
645,model_5,0.4579,0.4389832
646,model_5,0.4159,0.42648065
647,model_5,0.8342,0.8124785
648,model_5,0.0905,0.19344819
649,model_5,0.6247,0.49484906
650,model_5,0.3393,0.2755315
651,model_5,0.6266,0.6900093
652,model_5,0.5577,0.5102282
653,model_5,0.2399,0.22932892
654,model_5,0.2094,0.24990799
655,model_5,0.1543,0.27100506
656,model_5,0.7775,0.70228857
657,model_5,0.2499,0.23897038
658,model_5,-0.0878,-0.071055815
659,model_5,0.4701,0.4239956
660,model_5,0.4016,0.35073167
661,model_5,0.0427,0.06360367
662,model_5,-0.1047,-0.07752466
663,model_5,0.2577,0.2105624
664,model_5,0.4925,0.47150007
665,model_5,0.1066,0.107619286
666,model_5,0.3636,0.31301522
667,model_5,-0.0344,0.07807405
668,model_5,0.1362,0.15493216
669,model_5,0.2301,0.07154497
670,model_5,0.7444,0.74607366
671,model_5,0.2985,0.2952142
672,model_5,0.5036,0.49398172
673,model_5,-0.0446,0.0092310235
674,model_5,0.2211,0.29490644
675,model_5,0.2122,0.14220296
676,model_5,0.3038,0.26905888
677,model_5,0.2825,0.19589694
678,model_5,0.169,0.14627604
679,model_5,0.3098,0.3298633
680,model_5,0.1704,0.14720608
681,model_5,0.2319,0.18924958
682,model_5,0.0874,0.09431897
683,model_5,0.4624,0.4761316
684,model_5,0.0298,0.027596686
685,model_5,0.1836,0.14871822
686,model_5,0.2052,0.16618781
687,model_5,0.3052,0.25382587
688,model_5,0.0353,0.028029647
689,model_5,0.3946,0.35272062
690,model_5,0.1838,0.1420243
691,model_5,-0.0284,0.06608433
692,model_5,0.1889,0.22597124
693,model_5,0.2465,0.22961825
694,model_5,0.3971,0.37607387
695,model_5,-0.0124,-0.011598114
696,model_5,0.1483,0.11860999
697,model_5,0.3929,0.38825613
698,model_5,0.0385,-0.0038078395
699,model_5,0.7409,0.7554138
700,model_5,0.4319,0.423024
701,model_5,0.3547,0.26629722
702,model_5,0.4181,0.3227728
703,model_5,0.0931,0.1057905
704,model_5,0.2301,0.29535925
705,model_5,0.5099,0.5497584
706,model_5,0.1069,0.084750175
707,model_5,0.1407,0.14829113
708,model_5,0.0037,-0.015880272
709,model_5,0.4797,0.47037652
710,model_5,0.3761,0.45397666
711,model_5,0.2996,0.27705044
712,model_5,0.7375,0.7144507
713,model_5,0.0485,0.08129859
714,model_5,0.4683,0.33512196
715,model_5,0.3488,0.35947824
716,model_5,0.1223,0.03823503
717,model_5,0.0192,0.00708235
718,model_5,0.1933,0.10812798
719,model_5,0.2714,0.22199263
720,model_5,0.2649,0.327446
721,model_5,0.0531,-0.03219449
722,model_5,0.6831,0.6811213
723,model_5,0.2859,0.2131388
724,model_5,0.6383,0.6049996
725,model_5,0.6986,0.9208951
726,model_5,0.1041,0.060473807
727,model_5,0.8284,0.9094891
728,model_5,0.2697,0.30699807
729,model_5,-0.0009,-0.056507103
730,model_5,0.6451,0.4614755
731,model_5,0.284,0.2705678
732,model_5,0.128,0.11410798
733,model_5,0.2157,0.09796317
734,model_5,0.0139,-0.041754
735,model_5,-0.0144,0.08068244
736,model_5,0.3147,0.37138355
737,model_5,0.4315,0.27633965
738,model_5,0.2161,0.26720724
739,model_5,0.3573,0.27460977
740,model_5,0.796,0.8262579
741,model_5,0.2933,0.20993234
742,model_5,-0.0881,-0.08006022
743,model_5,0.1768,0.028569188
744,model_5,0.7058,0.6696437
745,model_5,0.2011,0.13667826
746,model_5,-0.0115,0.02710928
747,model_5,0.2119,0.036153067
748,model_5,0.4586,0.37300745
749,model_5,0.0233,0.033234738
750,model_5,0.0122,0.03928539
751,model_5,0.0983,0.17666513
752,model_5,0.2722,0.35040626
753,model_5,0.2299,0.20125341
754,model_5,0.4251,0.43570435
755,model_5,0.0889,0.06446348
756,model_5,0.5073,0.48285612
757,model_5,-0.046,0.023010336
758,model_5,0.1097,0.19839026
759,model_5,0.2813,0.2600326
760,model_5,0.0009,0.017745953
761,model_5,0.42,0.3619371
762,model_5,0.1115,0.12397849
763,model_5,0.0718,0.057815954
764,model_5,0.354,0.33944052
765,model_5,0.0613,0.096537516
766,model_5,0.2332,0.20795295
767,model_5,0.1617,0.1164753
768,model_5,0.1241,0.097223535
769,model_5,0.2725,0.23314309
770,model_5,-0.0938,-0.061153308
771,model_5,0.1787,0.20142733
772,model_5,0.0769,0.079184145
773,model_5,0.6247,0.49323845
774,model_5,0.6025,0.5386918
775,model_5,0.2224,0.19367774
776,model_5,0.221,0.25184587
777,model_5,-0.0957,-0.08132481
778,model_5,0.6228,0.60968083
779,model_5,0.1402,0.10302198
780,model_5,0.0785,0.05752038
781,model_5,0.4649,0.42640877
782,model_5,0.0534,0.07685136
783,model_5,0.0432,0.024082568
784,model_5,0.0857,0.084466994
785,model_5,0.1494,0.03491241
786,model_5,0.1702,0.13053271
787,model_5,0.0555,0.08865285
788,model_5,0.5607,0.57166386
789,model_5,0.2211,0.1572986
790,model_5,0.1829,0.2057393
791,model_5,0.0828,0.0664799
792,model_5,0.1185,0.112558305
793,model_5,0.4689,0.49876025
794,model_5,-0.0693,-0.0013109823
795,model_5,0.2431,0.26151094
796,model_5,0.33,0.3120198
797,model_5,0.24,0.16162257
798,model_5,0.4048,0.4828655
799,model_5,0.2911,0.22476752
800,model_5,0.3472,0.2675108
801,model_5,0.5212,0.50399303
802,model_5,-0.1166,-0.13079703
803,model_5,0.4418,0.41664279
804,model_5,0.6453,0.6441638
805,model_5,1.0596,0.9557599
806,model_5,0.0343,0.047262415
807,model_5,-0.0838,-0.091495104
808,model_5,0.5552,0.49704897
809,model_5,0.3621,0.3461943
810,model_5,0.4155,0.4003564
811,model_5,0.038,0.06226498
812,model_5,0.1143,0.14753722
813,model_5,0.2364,0.19396582
814,model_5,0.0131,0.0017552315
815,model_5,0.0897,0.10271709
