,SMILES,STG,max_sim,top5_sim,top10_sim,mean_sim,most_similar,model2_predvals,model4b_predvals,model6b_predvals
21,C12=C3C(O)=CC1=CC=C1C=C(O)C=C(O)C1=C2C=C3O,-0.002,0.23809523809523808,0.23612878349720456,0.2330993567835673,0.08906923477817445,N#Cc1cc(C#N)c2c(C#N)cc3ccc(N)c3c2cc1N,0.44066572,0.41459566,0.23752803
22,C1C=CC2=CC3=CC=CC=C4C=C(C=1)C2=C43,-0.021,0.6,0.49000000000000005,0.4545244755244755,0.1077807315786593,c1ccc2cc3cccc3cc2cc1,0.03059254,0.16457987,0.024684843
23,C1(C)C(C)=CC2=CC3=CC(C)=C(C)C=C4C=C(C=1)C2=C43,-0.029,0.25,0.23577712609970672,0.22783333864592628,0.0846664486262922,Nc1cc(N)cc2cc3cc(N)cc3cc2c1,0.13828757,0.07989036,0.063745394
24,C1C=CC2=C(C(F)(F)F)C3=CC=CC=C4C(C(F)(F)F)=C(C=1)C2=C43,-0.051,0.3333333333333333,0.30333333333333334,0.2936453533026114,0.07609514554835113,Nc1cc(N)c2c(N)c3cccccc3c(N)c12,-0.063178435,0.09687807,0.13500755
25,C1C=CC2=C(C#N)C3=CC=CC=C4C=C(C=1)C2=C43,-0.035,0.6923076923076923,0.6051255169561621,0.5743711651251974,0.202953358400146,N#Cc1c2cccccc2cc2cccc12,-0.04080195,0.15689735,0.14083412
26,C1C=CC2=C(C#N)C3=CC=CC=C4C(C#N)=C(C=1)C2=C43,-0.063,0.7,0.6390769230769232,0.5951068376068376,0.19148733104465127,N#Cc1c2cccccc2c(C#N)c2cccc12,-0.11621669,0.010999992,0.094293505
27,C1C(C(F)(F)F)=CC2=CC3=CC(C(F)(F)F)=CC=C4C=C(C=1)C2=C43,-0.016,0.28125,0.26890965897544844,0.2600958551287499,0.08711787399408322,Nc1ccccc2cc3ccc(N)c3c(N)c12,0.29990813,0.1426262,0.08689389
28,C1C=CC2=C(O)C3=CC=CC=C4C(O)=C(C=1)C2=C43,0.189,0.3333333333333333,0.32287179487179485,0.3118632478632479,0.08000449136181066,Nc1c2cccccc2c(N)c2cccc12,0.14992599,0.1634145,0.09890516
29,C1C=CC2=C(N)C3=CC=CC=C4C(N)=C(C=1)C2=C43,0.149,0.6470588235294118,0.6094983447924625,0.5567491723962312,0.13998431286993168,Nc1c2cccccc2c(N)c2cccc12,0.025204552,0.15212281,0.12972578
30,N1C2=NC=NC3=NC=NC(=NC=1)N23,-0.166,0.3888888888888889,0.3528282828282828,0.3238500388500388,0.07430331038973069,NC1=NC=N1,0.5290738,-0.06816597,-0.01904498
31,N1C2=NC(O)=NC3=NC(O)=NC(=NC=1O)N23,-0.256,0.16,0.15230075187969924,0.14413539858004468,0.04850887632037609,c1ccc2c3ccnccc-3c-2cc1,0.061879344,-0.07971692,-0.08989834
32,N1C2=NC(OC)=NC3=NC(OC)=NC(=NC=1OC)N23,-0.233,0.13636363636363635,0.12707486631016043,0.12088009049773754,0.04386060359539558,NC1=NC(N)=N1,0.2129797,-0.07193746,-0.09933806
33,N1C2=NC(N)=NC3=NC(N)=NC(=NC=1N)N23,-0.265,0.4666666666666667,0.4017650186071239,0.35317170561449746,0.09630356516023716,NC1=NC(N)=N1,-0.061126195,-0.07195347,-0.089458175
34,N1C2=NC(N(C)C)=NC3=NC(N(C)C)=NC(=NC=1N(C)C)N23,-0.241,0.18518518518518517,0.16951061879454538,0.15755331748939844,0.04597608353054358,c1ccc2c3ccnccc-3c-2cc1,-0.019517126,-0.037126318,-0.0854002
35,N1=CN=C2N3C(=NC=N2)N=C(C(F)(F)F)N=C13,-0.149,0.23333333333333334,0.2304761904761905,0.2218972775166784,0.06080374448190329,NC1=NC=N1,0.34097704,-0.088949434,-0.11696241
36,N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=CN=C13,-0.114,0.32432432432432434,0.3081871240010775,0.3030984760054528,0.1336854127294288,N#CC1=C2N=CN=C2C=C1,0.49749234,-0.065605395,-0.086895116
37,N1=C(C#N)N=C2N3C(=NC(C#N)=N2)N=C(C#N)N=C13,-0.124,0.25925925925925924,0.2574074074074074,0.2455664488017429,0.1289813189011801,N#CC1=C(N)N=C1N,0.42499116,-0.05063737,-0.05681353
38,C1C=CC2=CC=CC3=CC=CC=1N23,-0.093,0.35294117647058826,0.3263040622947744,0.3041390441344002,0.0559194905473408,NC1=CC=C1,-0.036879905,0.47507235,0.5718579
39,C1C(O)=CC2=CC(O)=CC3=CC=CC=1N23,-0.094,0.26666666666666666,0.24715286741655912,0.23802521073770175,0.05019450434940199,NC1=CC=CC2=CC(N)=CC=CC2=C1,0.22594209,0.32924807,0.3677821
40,C1C(O)=CC2=CC(O)=CC3=CC(O)=CC=1N23,-0.171,0.15789473684210525,0.15318638476533214,0.1462304516750978,0.05222017110011281,NC1=CC(N)=C1,0.10249323,0.00948036,0.23617989
41,C1C(N)=CC2=CC(N)=CC3=CC(N)=CC=1N23,-0.181,0.4666666666666667,0.40479532163742693,0.3591879719568507,0.10139633236506645,NC1=CC(N)=C1,0.47196627,-0.06951922,0.19954182
42,C1C(N(C)C)=CC2=CC(N(C)C)=CC3=CC(N(C)C)=CC=1N23,-0.159,0.16666666666666666,0.160477761485826,0.15219655270058496,0.049994659437949084,N#CC1=CC(C#N)=C1,0.2166851,0.19874799,0.30342627
43,C1(C(F)(F)F)C=CC2=CC=C(C(F)(F)F)C3=CC=CC=1N23,-0.095,0.175,0.17023809523809524,0.1658499551240415,0.044794086316574215,NC1=CC=CC2=CC(N)=CC=CC2=C1,-0.08099205,0.019835375,0.16458815
44,C1C(C#N)=CC2=CC(C#N)=CC3=CC=CC=1N23,0.002,0.4838709677419355,0.46323884001303356,0.4392551839895294,0.1227289164226651,N#CC1=CC2=CC=CC2=C1,0.087122895,0.47239715,0.4685823
45,C1C(C#N)=CC2=CC(C#N)=CC3=CC(C#N)=CC=1N23,0.136,0.5555555555555556,0.48985088985088987,0.43681659336831746,0.13798039612644253,N#CC1=CC(C#N)=C1,0.11418982,0.38895738,0.45066476
46,C1(O)C=CC2=CC=C(O)C3=CC=CC=1N23,0.197,0.19444444444444445,0.18999245425391434,0.18469487471260165,0.04469270701442889,NC1=CC=CC2=CC(N)=CC=CC2=C1,0.16694193,0.40265238,0.36846852
47,C1(OC)C=CC2=CC=C(OC)C3=CC=CC=1N23,0.138,0.18421052631578946,0.17374686716791982,0.16794447714337554,0.04296106536554776,C1=Cc2cc3c(cc2=C1)C=CC=3,0.07782226,0.42661586,0.334035
48,C1(N)C=CC2=CC=C(N)C3=CC=CC=1N23,0.133,0.30303030303030304,0.2878485855230041,0.28273142989061195,0.08373930028615166,NC1=CC=CC(N)=C2C(N)=CC=CC(N)=C12,0.12999736,0.41099206,0.27590063
49,N1C=NC2=NC=NC3=CC=CC=1N23,-0.068,0.3235294117647059,0.3014964359727631,0.2909475535345543,0.06577343053654038,C1=CC2=NC=NC2=C1,0.9921152,-0.082809165,0.10082458
50,N1C=NC2=NC=NC3=CC(O)=CC=1N23,-0.111,0.23684210526315788,0.2295038671948689,0.22400474041121687,0.062144009769273124,NC1=CC(N)=NC=NC(N)=C1,0.44367838,-0.08363939,0.016087212
51,N1C=NC2=NC=NC3=CC(OC)=CC=1N23,-0.1,0.2222222222222222,0.21928901641957593,0.21690358205209087,0.07465561703357598,N#CC1=CC(C#N)=C2N=CN=C12,0.5749031,-0.072266504,0.029254522
52,N1C=NC2=NC=NC3=CC(N)=CC=1N23,-0.086,0.35294117647058826,0.33604133545310017,0.32485988114471087,0.10181032600554658,NC1=CC(N)=NC=NC(N)=C1,0.35176829,-0.057284445,-0.055138446
53,N1C=NC2=NC=NC3=CC(N(C)C)=CC=1N23,-0.077,0.21951219512195122,0.2111834602508921,0.20612431348411636,0.059013543085379414,NC1=CC(N)=NC=NC(N)=C1,0.47189096,-0.025033142,-0.012251683
54,N1C(O)=NC2=NC(O)=NC3=CC(O)=CC=1N23,-0.085,0.16666666666666666,0.15585603011134924,0.151313954797425,0.06060277854657949,N#CC1=CC=C2N=C(N)N=C(N)N=C2C(C#N)=C1,0.04015322,-0.10714232,0.035652466
55,N1C=NC2=NC=NC3=CC=C(C(F)(F)F)C=1N23,-0.087,0.2222222222222222,0.2153243816518562,0.20817501133874866,0.06575310699088177,NC1=CC=c2c1cnc1c2=NC=N1,0.79567796,0.02182106,-0.024529755
56,N1C=NC2=NC=NC3=CC=C(C#N)C=1N23,-0.077,0.39473684210526316,0.36418891431477246,0.3530781142650027,0.13098518325934694,N#CC1=CC=C2N=CN=C12,0.92530054,0.047986835,-0.0079181865
57,N1C=NC2=NC=NC3=C(C(F)(F)F)C=C(C(F)(F)F)C=1N23,-0.107,0.225,0.2153875968992248,0.2106454851277142,0.06464446328226137,NC1=CC2=NC=NC(N)=CC2=NC=N1,0.41866705,-0.014705247,-0.13172293
58,N1C=NC2=NC=NC3=C(C#N)C=C(C#N)C=1N23,-0.083,0.43902439024390244,0.4025921120913337,0.38803074992321784,0.13100285811832207,N#CC1=CC(C#N)=C(N)N=CN=C1N,0.802322,0.013116815,-0.05285109
