,SMILES,max_sim,top5_sim,top10_sim,mean_sim,most_similar
38,C1C=CC2=CC=CC3=CC=CC=1N23,0.35294117647058826,0.3263040622947744,0.3041390441344002,0.0559194905473408,NC1=CC=C1
39,C1C(O)=CC2=CC(O)=CC3=CC=CC=1N23,0.26666666666666666,0.24715286741655912,0.23802521073770175,0.05019450434940199,NC1=CC=CC2=CC(N)=CC=CC2=C1
40,C1C(O)=CC2=CC(O)=CC3=CC(O)=CC=1N23,0.15789473684210525,0.15318638476533214,0.1462304516750978,0.05222017110011281,NC1=CC(N)=C1
41,C1C(N)=CC2=CC(N)=CC3=CC(N)=CC=1N23,0.4666666666666667,0.40479532163742693,0.3591879719568507,0.10139633236506645,NC1=CC(N)=C1
42,C1C(N(C)C)=CC2=CC(N(C)C)=CC3=CC(N(C)C)=CC=1N23,0.16666666666666666,0.160477761485826,0.15219655270058496,0.049994659437949084,N#CC1=CC(C#N)=C1
43,C1(C(F)(F)F)C=CC2=CC=C(C(F)(F)F)C3=CC=CC=1N23,0.175,0.17023809523809524,0.1658499551240415,0.044794086316574215,NC1=CC=CC2=CC(N)=CC=CC2=C1
44,C1C(C#N)=CC2=CC(C#N)=CC3=CC=CC=1N23,0.4838709677419355,0.46323884001303356,0.4392551839895294,0.1227289164226651,N#CC1=CC2=CC=CC2=C1
45,C1C(C#N)=CC2=CC(C#N)=CC3=CC(C#N)=CC=1N23,0.5555555555555556,0.48985088985088987,0.43681659336831746,0.13798039612644253,N#CC1=CC(C#N)=C1
46,C1(O)C=CC2=CC=C(O)C3=CC=CC=1N23,0.19444444444444445,0.18999245425391434,0.18469487471260165,0.04469270701442889,NC1=CC=CC2=CC(N)=CC=CC2=C1
47,C1(OC)C=CC2=CC=C(OC)C3=CC=CC=1N23,0.18421052631578946,0.17374686716791982,0.16794447714337554,0.04296106536554776,C1=Cc2cc3c(cc2=C1)C=CC=3
48,C1(N)C=CC2=CC=C(N)C3=CC=CC=1N23,0.30303030303030304,0.2878485855230041,0.28273142989061195,0.08373930028615166,NC1=CC=CC(N)=C2C(N)=CC=CC(N)=C12
49,N1C=NC2=NC=NC3=CC=CC=1N23,0.3235294117647059,0.3014964359727631,0.2909475535345543,0.06577343053654038,C1=CC2=NC=NC2=C1
50,N1C=NC2=NC=NC3=CC(O)=CC=1N23,0.23684210526315788,0.2295038671948689,0.22400474041121687,0.062144009769273124,NC1=CC(N)=NC=NC(N)=C1
51,N1C=NC2=NC=NC3=CC(OC)=CC=1N23,0.2222222222222222,0.21928901641957593,0.21690358205209087,0.07465561703357598,N#CC1=CC(C#N)=C2N=CN=C12
52,N1C=NC2=NC=NC3=CC(N)=CC=1N23,0.35294117647058826,0.33604133545310017,0.32485988114471087,0.10181032600554658,NC1=CC(N)=NC=NC(N)=C1
53,N1C=NC2=NC=NC3=CC(N(C)C)=CC=1N23,0.21951219512195122,0.2111834602508921,0.20612431348411636,0.059013543085379414,NC1=CC(N)=NC=NC(N)=C1
54,N1C(O)=NC2=NC(O)=NC3=CC(O)=CC=1N23,0.16666666666666666,0.15585603011134924,0.151313954797425,0.06060277854657949,N#CC1=CC=C2N=C(N)N=C(N)N=C2C(C#N)=C1
55,N1C=NC2=NC=NC3=CC=C(C(F)(F)F)C=1N23,0.2222222222222222,0.2153243816518562,0.20817501133874866,0.06575310699088177,NC1=CC=c2c1cnc1c2=NC=N1
56,N1C=NC2=NC=NC3=CC=C(C#N)C=1N23,0.39473684210526316,0.36418891431477246,0.3530781142650027,0.13098518325934694,N#CC1=CC=C2N=CN=C12
57,N1C=NC2=NC=NC3=C(C(F)(F)F)C=C(C(F)(F)F)C=1N23,0.225,0.2153875968992248,0.2106454851277142,0.06464446328226137,NC1=CC2=NC=NC(N)=CC2=NC=N1
58,N1C=NC2=NC=NC3=C(C#N)C=C(C#N)C=1N23,0.43902439024390244,0.4025921120913337,0.38803074992321784,0.13100285811832207,N#CC1=CC(C#N)=C(N)N=CN=C1N
